servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
servo0_data:3, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.3, servo4_data:72.4, servo5_data:0.3, servo6_data:0.1
